video number, frame number, cell number of x, cell number of y,KM1,KM2,KM3,KM4,KM5,KM6,KM7
10R.mp4,12,4,3,-582.247129,399.492591,-70.796710,-41.713307,-56.385515,-34.729672,18.981015
10R.mp4,12,4,4,-498.108046,741.625538,11.935504,-20.259828,12.393252,6.004519,0.167645
10R.mp4,13,1,1,-282.611720,796.685716,2.963560,-201.547956,151.818767,8.013712,6.176631
10R.mp4,13,1,2,-367.962022,856.729276,0.260127,-60.527137,20.998675,-9.769490,-2.718829
10R.mp4,13,1,3,-375.970012,761.335925,-14.915052,-88.351900,10.296168,-23.392532,-2.126949
10R.mp4,13,1,4,-361.712151,895.251867,6.702072,-61.094313,46.385527,5.010490,0.484156
10R.mp4,13,2,1,-265.792104,900.793658,2.468152,-155.309490,118.634678,6.489841,6.723449
10R.mp4,13,2,2,-323.726320,831.500175,-8.443119,-119.387095,72.164284,-10.506528,10.973763
10R.mp4,13,2,3,-315.501034,767.913555,-30.764756,-143.289680,53.655487,-23.680053,19.301034
10R.mp4,13,2,4,-257.500077,951.224333,2.111542,-131.906084,100.984687,5.193778,5.782088
10R.mp4,13,3,1,-403.113468,916.534280,8.268832,-7.103999,4.919253,3.659090,0.010326
10R.mp4,13,3,2,-393.161877,693.643524,-104.212018,-39.823890,-56.307161,-6.382486,16.937582
10R.mp4,13,3,3,-396.904212,616.857910,-131.842861,-45.395424,-41.484521,-6.643803,15.643493
10R.mp4,13,3,4,-438.510805,861.787948,9.817849,-5.994478,3.891072,4.719949,-0.222859
10R.mp4,13,4,1,-428.353453,835.967397,9.366446,-32.445391,23.943831,5.572393,0.943969
10R.mp4,13,4,2,-564.016089,514.972958,-49.495626,-20.698010,-21.393299,-0.948880,4.878130
10R.mp4,13,4,3,-582.247129,399.492591,-70.796710,-41.713307,-56.385515,-34.729672,18.981015
10R.mp4,13,4,4,-499.541228,739.190939,11.998185,-20.352084,12.455338,6.053544,0.163978
10R.mp4,14,1,1,-282.145366,798.824030,2.943388,-200.670913,151.158165,7.960262,6.142173
10R.mp4,14,1,2,-382.072120,851.850678,2.588176,-53.825330,23.302069,-4.990544,-1.475525
10R.mp4,14,1,3,-360.614546,790.433219,-13.883422,-90.462394,18.368372,-21.465858,-0.041100
10R.mp4,14,1,4,-366.296055,892.849425,6.903447,-58.001291,44.022505,5.017306,0.329822
10R.mp4,14,2,1,-265.541867,899.872644,2.456983,-156.140406,119.264237,6.518778,6.759741
10R.mp4,14,2,2,-317.751222,828.125440,-10.703583,-124.496575,73.985437,-12.386320,11.890101
10R.mp4,14,2,3,-333.952067,778.473493,-24.309412,-117.955587,45.245884,-29.525658,17.401530
10R.mp4,14,2,4,-257.716194,948.165005,2.120546,-133.614043,102.274848,5.276165,5.852837
10R.mp4,14,3,1,-402.126199,916.880484,8.472001,-8.233154,6.707223,4.254042,-0.185235
10R.mp4,14,3,2,-393.123129,693.700646,-104.341117,-41.383343,-56.795407,-4.563699,16.947370
10R.mp4,14,3,3,-398.780213,628.521684,-131.660891,-40.279161,-44.133260,0.026512,13.995994
10R.mp4,14,3,4,-435.860557,863.597819,9.701491,-7.517926,5.057062,4.704285,-0.144775
10R.mp4,14,4,1,-420.450507,849.407612,9.267378,-32.282351,24.791813,5.893282,0.730454
10R.mp4,14,4,2,-561.616035,517.703627,-49.599702,-21.296528,-20.782507,-0.903381,5.407670
10R.mp4,14,4,3,-582.437129,400.607742,-69.420744,-42.985910,-53.233976,-33.813769,19.489950
10R.mp4,14,4,4,-498.622197,747.497827,12.205682,-16.403489,10.403868,6.425850,-0.245665
10R.mp4,15,1,1,-282.896076,801.587072,2.976892,-198.178166,149.269488,7.873452,6.033298
10R.mp4,15,1,2,-357.392121,884.585622,2.104557,-62.291448,29.477570,-6.135283,1.097082
10R.mp4,15,1,3,-375.766816,798.405605,-8.119932,-74.589343,22.174498,-10.705966,-8.937868
10R.mp4,15,1,4,-366.296055,892.849425,6.903447,-58.001291,44.022505,5.017306,0.329822
10R.mp4,15,2,1,-266.474576,895.596017,2.497328,-157.894493,120.585441,6.625677,6.828656
10R.mp4,15,2,2,-323.272667,797.107747,-13.708915,-132.402860,77.588730,-16.228186,13.347490
10R.mp4,15,2,3,-349.072322,744.605687,-27.911546,-119.885702,43.515569,-28.868150,17.873068
10R.mp4,15,2,4,-260.468799,958.296160,2.243396,-124.473972,95.349699,4.957859,5.453631
10R.mp4,15,3,1,-410.258942,904.411201,8.827915,-7.909645,6.419135,4.494745,-0.241698
10R.mp4,15,3,2,-407.884180,663.241598,-106.232511,-44.016066,-51.489708,0.145119,15.712356
10R.mp4,15,3,3,-399.946840,617.098446,-130.332541,-46.049900,-42.457559,-4.001685,15.425733
