4 10
Video,Frame,Cell,Histogram
10,25,10,0#10#87#92#168#818#25#0#0#0#
10,25,11,0#29#126#92#220#682#51#0#0#0#
10,25,12,0#0#0#1#208#950#41#0#0#0#
10,25,13,0#0#0#2#188#938#72#0#0#0#
10,25,14,0#9#52#40#400#667#29#2#1#0#
10,25,15,0#20#60#111#470#520#17#2#0#0#
10,25,16,0#0#0#1#285#874#39#0#1#0#
10,26,1,0#0#0#1#77#803#309#10#0#0#
10,26,2,0#0#3#26#144#930#92#3#2#0#
10,26,3,0#0#5#49#213#793#110#27#3#0#
10,26,4,0#0#0#0#113#953#130#4#0#0#
10,26,5,0#0#0#0#16#986#198#0#0#0#
10,26,6,0#12#7#25#92#874#190#0#0#0#
10,26,7,0#22#15#31#99#847#180#6#0#0#
10,26,8,0#0#0#0#8#968#224#0#0#0#
10,26,9,0#0#0#0#174#994#32#0#0#0#
10,26,10,0#7#82#97#173#822#19#0#0#0#
10,26,11,0#30#126#99#206#699#40#0#0#0#
10,26,12,0#0#0#2#203#950#45#0#0#0#
10,26,13,0#0#0#1#205#914#80#0#0#0#
10,26,14,0#12#48#37#381#692#26#3#1#0#
10,26,15,0#17#56#117#472#521#11#5#1#0#
10,26,16,0#0#0#1#264#892#41#2#0#0#
10,27,1,0#0#0#1#77#803#309#10#0#0#
10,27,2,0#0#3#24#173#880#108#10#2#0#
10,27,3,0#0#5#47#224#758#124#37#5#0#
10,27,4,0#0#0#0#121#946#129#4#0#0#
10,27,5,0#0#0#0#15#991#194#0#0#0#
10,27,6,0#12#8#23#93#873#191#0#0#0#
10,27,7,0#24#11#38#112#819#186#10#0#0#
10,27,8,0#0#0#0#7#967#226#0#0#0#
10,27,9,0#0#0#0#174#994#32#0#0#0#
10,27,10,0#9#79#95#182#813#22#0#0#0#
10,27,11,0#32#132#95#217#686#38#0#0#0#
10,27,12,0#0#0#2#203#950#45#0#0#0#
10,27,13,0#0#0#1#210#917#72#0#0#0#
10,27,14,0#10#49#38#404#667#28#3#1#0#
10,27,15,0#22#56#118#483#498#18#3#2#0#
10,27,16,0#0#0#1#249#910#38#2#0#0#
10,28,1,0#0#0#0#74#798#314#14#0#0#
10,28,2,0#0#2#19#169#877#109#17#7#0#
10,28,3,0#0#5#41#202#767#125#49#11#0#
10,28,4,0#0#0#0#117#947#132#4#0#0#
10,28,5,0#0#0#0#9#1008#183#0#0#0#
10,28,6,0#12#7#19#104#880#178#0#0#0#
10,28,7,0#23#18#35#102#819#186#17#0#0#
10,28,8,0#0#0#0#8#971#221#0#0#0#
10,28,9,0#0#0#0#157#1019#24#0#0#0#
10,28,10,0#6#79#87#201#802#25#0#0#0#
10,28,11,0#26#146#91#216#681#40#0#0#0#
10,28,12,0#0#0#2#199#962#37#0#0#0#
10,28,13,0#0#0#1#195#930#74#0#0#0#
10,28,14,0#11#47#33#405#676#24#3#1#0#
10,28,15,0#18#62#118#446#526#24#5#1#0#
10,28,16,0#0#0#2#245#910#42#1#0#0#
10,29,1,0#0#0#0#76#796#315#13#0#0#
10,29,2,0#0#3#11#152#881#115#26#10#2#
10,29,3,0#0#5#38#194#761#122#62#17#1#
10,29,4,0#0#0#0#119#945#132#4#0#0#
10,29,5,0#0#0#0#17#1001#182#0#0#0#
10,29,6,0#10#9#15#118#874#173#1#0#0#
10,29,7,0#23#20#38#104#797#198#18#2#0#
10,29,8,0#0#0#0#8#970#222#0#0#0#
10,29,9,0#0#0#0#167#1007#26#0#0#0#
10,29,10,0#5#78#89#198#800#30#0#0#0#
10,29,11,0#31#142#91#218#677#41#0#0#0#
10,29,12,0#0#0#2#199#962#37#0#0#0#
10,29,13,0#0#0#1#199#927#73#0#0#0#
10,29,14,0#11#45#35#399#676#30#3#1#0#
10,29,15,0#21#62#118#440#530#24#4#1#0#
10,29,16,0#0#0#2#265#886#46#1#0#0#
10,30,1,0#0#0#0#75#799#313#13#0#0#
10,30,2,0#0#2#10#122#886#123#39#15#3#
10,30,3,0#0#2#37#132#828#115#61#23#2#
10,30,4,0#0#0#0#112#942#142#4#0#0#
10,30,5,0#0#0#0#14#999#187#0#0#0#
10,30,6,0#9#6#10#134#868#173#0#0#0#
10,30,7,0#15#14#36#135#794#189#17#0#0#
10,30,8,0#0#0#0#8#974#218#0#0#0#
10,30,9,0#0#0#0#168#1005#27#0#0#0#
10,30,10,0#5#78#89#194#800#34#0#0#0#
10,30,11,0#24#151#89#219#677#40#0#0#0#
10,30,12,0#0#0#1#201#959#39#0#0#0#
10,30,13,0#0#0#1#201#923#75#0#0#0#
10,30,14,0#9#46#35#407#669#30#3#1#0#
10,30,15,0#19#73#104#452#526#20#5#1#0#
10,30,16,0#0#0#1#261#889#48#0#1#0#
10,31,1,0#0#0#0#75#799#313#13#0#0#
10,31,2,0#0#1#12#109#885#121#41#30#1#
10,31,3,0#0#3#43#131#890#89#30#12#2#
10,31,4,0#0#0#0#108#956#132#4#0#0#
10,31,5,0#0#0#0#14#999#187#0#0#0#
10,31,6,0#5#8#15#141#860#171#0#0#0#
10,31,7,0#15#11#41#122#788#151#49#23#0#
10,31,8,0#0#0#0#10#971#213#6#0#0#
10,31,9,0#0#0#0#174#995#31#0#0#0#
10,31,10,0#6#75#91#195#799#34#0#0#0#
10,31,11,0#34#141#98#218#667#42#0#0#0#
10,31,12,0#0#0#1#204#956#39#0#0#0#
10,31,13,0#0#0#2#215#907#76#0#0#0#
10,31,14,0#9#46#35#412#664#30#3#1#0#
10,31,15,0#20#71#103#456#522#22#5#1#0#
10,31,16,0#0#0#1#263#887#48#0#1#0#
10,32,1,0#0#0#0#64#802#320#14#0#0#
10,32,2,0#0#1#12#83#956#122#21#5#0#
10,32,3,0#0#4#36#142#892#87#30#8#1#
10,32,4,0#0#0#0#103#953#139#5#0#0#
10,32,5,0#0#0#0#13#996#191#0#0#0#
10,32,6,0#4#9#12#127#860#135#35#18#0#
10,32,7,0#7#7#43#141#785#142#57#18#0#
10,32,8,0#0#0#0#15#965#219#1#0#0#
10,32,9,0#0#0#1#168#998#33#0#0#0#
10,32,10,0#3#78#83#200#802#34#0#0#0#
10,32,11,0#33#147#99#215#660#46#0#0#0#
10,32,12,0#0#0#3#198#962#37#0#0#0#
10,32,13,0#0#0#1#212#892#95#0#0#0#
10,32,14,0#9#47#35#419#658#28#3#1#0#
10,32,15,0#21#69#107#456#525#17#5#0#0#
10,32,16,0#0#0#1#275#871#52#0#1#0#
10,33,1,0#0#0#0#75#794#318#13#0#0#
10,33,2,0#0#2#13#86#974#106#10#9#0#
